"NUTS_CODE","TIMESTAMP","MEDIAN"
"AL011","2018-01-01",6.378
"AL012","2018-01-01",14.045
"AL013","2018-01-01",5.414
"AL014","2018-01-01",10.554
"AL015","2018-01-01",8.25
"AL021","2018-01-01",9.75
"AL022","2018-01-01",12.554
"AL031","2018-01-01",10.523
"AL032","2018-01-01",13.656
"AL033","2018-01-01",8.184
"AL034","2018-01-01",6.22
"AL035","2018-01-01",12.499
"AT111","2018-01-01",4.932
"AT112","2018-01-01",6.585
"AT113","2018-01-01",5.932
"AT121","2018-01-01",6.078
"AT122","2018-01-01",4.084
"AT123","2018-01-01",6.375
"AT124","2018-01-01",3.965
"AT125","2018-01-01",5.612
"AT126","2018-01-01",6.632
"AT127","2018-01-01",6.458
"AT211","2018-01-01",4.799
"AT212","2018-01-01",0.127
"AT213","2018-01-01",3.024
"AT221","2018-01-01",3.896
"AT222","2018-01-01",1.601
"AT223","2018-01-01",1.724
"AT224","2018-01-01",6.28
"AT225","2018-01-01",5.724
"AT226","2018-01-01",0.664
"AT311","2018-01-01",6.607
"AT312","2018-01-01",6.55
"AT313","2018-01-01",4.198
"AT314","2018-01-01",5.221
"AT315","2018-01-01",5.762
"AT321","2018-01-01",0.048
"AT322","2018-01-01",0.733
"AT323","2018-01-01",3.23
"AT331","2018-01-01",1.445
"AT332","2018-01-01",0.863
"AT333","2018-01-01",-2.498
"AT334","2018-01-01",-0.82
"AT335","2018-01-01",2.402
"AT341","2018-01-01",3.576
"AT342","2018-01-01",7.211
"BA","2018-01-01",6.768
"BE211","2018-01-01",8.032
"BE212","2018-01-01",8.948
"BE213","2018-01-01",7.942
"BE223","2018-01-01",8.265
"BE224","2018-01-01",8.408
"BE225","2018-01-01",8.272
"BE231","2018-01-01",8.74
"BE234","2018-01-01",8.313
"BE235","2018-01-01",8.486
"BE236","2018-01-01",8.555
"BE241","2018-01-01",8.43
"BE242","2018-01-01",8.398
"BE251","2018-01-01",8.529
"BE252","2018-01-01",8.876
"BE253","2018-01-01",8.557
"BE254","2018-01-01",8.557
"BE256","2018-01-01",8.531
"BE258","2018-01-01",8.915
"BE310","2018-01-01",7.829
"BE323","2018-01-01",8.063
"BE328","2018-01-01",8.486
"BE329","2018-01-01",7.331
"BE32A","2018-01-01",8.343
"BE32B","2018-01-01",7.019
"BE32C","2018-01-01",8.167
"BE32D","2018-01-01",6.59
"BE331","2018-01-01",7.099
"BE332","2018-01-01",7.68
"BE334","2018-01-01",7.803
"BE335","2018-01-01",5.927
"BE336","2018-01-01",4.39
"BE342","2018-01-01",5.349
"BE343","2018-01-01",6.135
"BE344","2018-01-01",5.66
"BE345","2018-01-01",7.158
"BE351","2018-01-01",6.538
"BE352","2018-01-01",6.85
"BE353","2018-01-01",6.603
"BG311","2018-01-01",6.423
"BG312","2018-01-01",6.499
"BG313","2018-01-01",5.965
"BG314","2018-01-01",6.027
"BG315","2018-01-01",4.962
"BG321","2018-01-01",5.577
"BG322","2018-01-01",4.191
"BG323","2018-01-01",4.966
"BG324","2018-01-01",5.356
"BG325","2018-01-01",4.582
"BG331","2018-01-01",6.036
"BG332","2018-01-01",4.936
"BG333","2018-01-01",5.054
"BG334","2018-01-01",4.973
"BG341","2018-01-01",7.259
"BG342","2018-01-01",5.497
"BG343","2018-01-01",7.428
"BG344","2018-01-01",6.622
"BG411","2018-01-01",4.956
"BG412","2018-01-01",3.987
"BG413","2018-01-01",4.29
"BG414","2018-01-01",3.923
"BG415","2018-01-01",5.907
"BG421","2018-01-01",6.9
"BG422","2018-01-01",8.125
"BG423","2018-01-01",4.336
"BG424","2018-01-01",2.471
"BG425","2018-01-01",7.135
"CH011","2018-01-01",5.525
"CH012","2018-01-01",-1.373
"CH021","2018-01-01",5.344
"CH022","2018-01-01",6.545
"CH023","2018-01-01",6.951
"CH024","2018-01-01",4.387
"CH025","2018-01-01",7.039
"CH032","2018-01-01",6.152
"CH033","2018-01-01",7.462
"CH040","2018-01-01",6.815
"CH051","2018-01-01",-0.181
"CH055","2018-01-01",5.001
"CH056","2018-01-01",-2.007
"CH057","2018-01-01",7.455
"CH061","2018-01-01",8.48
"CH062","2018-01-01",-1.065
"CH063","2018-01-01",5.221
"CH064","2018-01-01",4.707
"CH065","2018-01-01",4.154
"CH070","2018-01-01",1.135
"CY000","2018-01-01",15.962
"CZ010","2018-01-01",6.148
"CZ020","2018-01-01",4.774
"CZ031","2018-01-01",4.339
"CZ032","2018-01-01",4.399
"CZ041","2018-01-01",2.794
"CZ042","2018-01-01",4.124
"CZ051","2018-01-01",4.04
"CZ052","2018-01-01",3.64
"CZ053","2018-01-01",3.269
"CZ063","2018-01-01",2.957
"CZ064","2018-01-01",4.308
"CZ071","2018-01-01",3.015
"CZ072","2018-01-01",3.928
"CZ080","2018-01-01",3.738
"DE112","2018-01-01",6.457
"DE113","2018-01-01",7.53
"DE114","2018-01-01",5.311
"DE115","2018-01-01",8.076
"DE116","2018-01-01",7.315
"DE118","2018-01-01",8.038
"DE119","2018-01-01",7.349
"DE11A","2018-01-01",6.809
"DE11B","2018-01-01",6.774
"DE11C","2018-01-01",5.302
"DE11D","2018-01-01",5.627
"DE123","2018-01-01",8.265
"DE127","2018-01-01",7.22
"DE128","2018-01-01",7.819
"DE12A","2018-01-01",5.146
"DE12B","2018-01-01",7.378
"DE12C","2018-01-01",5.204
"DE132","2018-01-01",7.276
"DE133","2018-01-01",7.357
"DE134","2018-01-01",7.859
"DE135","2018-01-01",5.678
"DE136","2018-01-01",5.204
"DE137","2018-01-01",5.042
"DE138","2018-01-01",6.138
