"NUTS_CODE","TIMESTAMP","MEDIAN"
"AL011","2016-01-01",5.461
"AL012","2016-01-01",12.128
"AL013","2016-01-01",3.216
"AL014","2016-01-01",9.066
"AL015","2016-01-01",7.461
"AL021","2016-01-01",8.464
"AL022","2016-01-01",11.543
"AL031","2016-01-01",9.805
"AL032","2016-01-01",12.607
"AL033","2016-01-01",8.236
"AL034","2016-01-01",4.361
"AL035","2016-01-01",12.311
"AT111","2016-01-01",3.888
"AT112","2016-01-01",4.471
"AT113","2016-01-01",4.765
"AT121","2016-01-01",2.577
"AT122","2016-01-01",2.277
"AT123","2016-01-01",4.236
"AT124","2016-01-01",2.164
"AT125","2016-01-01",3.066
"AT126","2016-01-01",4.632
"AT127","2016-01-01",4.279
"AT211","2016-01-01",2.956
"AT212","2016-01-01",-1.075
"AT213","2016-01-01",1.776
"AT221","2016-01-01",2.146
"AT222","2016-01-01",-1.795
"AT223","2016-01-01",1.142
"AT224","2016-01-01",4.654
"AT225","2016-01-01",4.571
"AT226","2016-01-01",-0.57
"AT311","2016-01-01",2.815
"AT312","2016-01-01",2.919
"AT313","2016-01-01",1.323
"AT314","2016-01-01",1.543
"AT315","2016-01-01",2.197
"AT321","2016-01-01",-2.086
"AT322","2016-01-01",-2.795
"AT323","2016-01-01",0.13
"AT331","2016-01-01",-1.341
"AT332","2016-01-01",-2.107
"AT333","2016-01-01",-3.048
"AT334","2016-01-01",-2.878
"AT335","2016-01-01",-0.292
"AT341","2016-01-01",1.09
"AT342","2016-01-01",4.377
"BA","2016-01-01",4.023
"BE211","2016-01-01",6.942
"BE212","2016-01-01",7.281
"BE213","2016-01-01",6.665
"BE223","2016-01-01",6.046
"BE224","2016-01-01",6.015
"BE225","2016-01-01",6.202
"BE231","2016-01-01",6.99
"BE234","2016-01-01",7.301
"BE235","2016-01-01",7.036
"BE236","2016-01-01",7.288
"BE241","2016-01-01",6.98
"BE242","2016-01-01",6.352
"BE251","2016-01-01",6.852
"BE252","2016-01-01",6.404
"BE253","2016-01-01",7.024
"BE254","2016-01-01",6.857
"BE255","2016-01-01",7.027
"BE256","2016-01-01",6.831
"BE258","2016-01-01",7.276
"BE310","2016-01-01",5.72
"BE323","2016-01-01",6.696
"BE328","2016-01-01",6.786
"BE329","2016-01-01",6.22
"BE32A","2016-01-01",6.976
"BE32B","2016-01-01",5.741
"BE32C","2016-01-01",6.8
"BE32D","2016-01-01",5.229
"BE331","2016-01-01",5.386
"BE332","2016-01-01",5.23
"BE334","2016-01-01",5.353
"BE335","2016-01-01",4.399
"BE336","2016-01-01",2.923
"BE342","2016-01-01",3.407
"BE343","2016-01-01",4.182
"BE344","2016-01-01",3.931
"BE345","2016-01-01",5.079
"BE351","2016-01-01",4.887
"BE352","2016-01-01",5.689
"BE353","2016-01-01",5.592
"BG311","2016-01-01",3.006
"BG312","2016-01-01",2.984
"BG313","2016-01-01",2.254
"BG314","2016-01-01",1.557
"BG315","2016-01-01",1.919
"BG321","2016-01-01",1.347
"BG322","2016-01-01",1.524
"BG323","2016-01-01",1.035
"BG324","2016-01-01",3.048
"BG325","2016-01-01",2.127
"BG331","2016-01-01",4.189
"BG332","2016-01-01",2.917
"BG333","2016-01-01",2.48
"BG334","2016-01-01",1.852
"BG341","2016-01-01",6.253
"BG342","2016-01-01",2.654
"BG343","2016-01-01",5.759
"BG344","2016-01-01",5.298
"BG411","2016-01-01",2.063
"BG412","2016-01-01",1.667
"BG413","2016-01-01",2.391
"BG414","2016-01-01",1.134
