"NUTS_CODE","TIMESTAMP","MEDIAN"
"AL011","2001-01-01",5.73
"AL012","2001-01-01",13.26
"AL013","2001-01-01",3.682
"AL014","2001-01-01",9.742
"AL015","2001-01-01",7.825
"AL021","2001-01-01",8.068
"AL022","2001-01-01",12.476
"AL031","2001-01-01",8.911
"AL032","2001-01-01",12.726
"AL033","2001-01-01",7.853
"AL034","2001-01-01",4.108
"AL035","2001-01-01",12.989
"AT111","2001-01-01",2.492
"AT112","2001-01-01",3.447
"AT113","2001-01-01",3.337
"AT121","2001-01-01",1.976
"AT122","2001-01-01",0.483
"AT123","2001-01-01",1.566
"AT124","2001-01-01",0.284
"AT125","2001-01-01",1.982
"AT126","2001-01-01",2.626
"AT127","2001-01-01",3.311
"AT211","2001-01-01",2.071
"AT212","2001-01-01",-3.234
"AT213","2001-01-01",0.208
"AT221","2001-01-01",2.931
"AT222","2001-01-01",-3.304
"AT223","2001-01-01",-1.299
"AT224","2001-01-01",2.895
"AT225","2001-01-01",3.216
"AT226","2001-01-01",-2.697
"AT311","2001-01-01",1.627
"AT312","2001-01-01",1.719
"AT313","2001-01-01",0.002
"AT314","2001-01-01",0.262
"AT315","2001-01-01",0.681
"AT321","2001-01-01",-4.742
"AT322","2001-01-01",-2.535
"AT323","2001-01-01",-0.188
"AT331","2001-01-01",-2.556
"AT332","2001-01-01",-0.75
"AT333","2001-01-01",-5.934
"AT334","2001-01-01",-4.532
"AT335","2001-01-01",-0.113
"AT341","2001-01-01",-0.678
"AT342","2001-01-01",4.294
"BA","2001-01-01",6.099
"BE211","2001-01-01",6.942
"BE212","2001-01-01",6.448
"BE213","2001-01-01",6.347
"BE223","2001-01-01",6.465
"BE224","2001-01-01",7.008
"BE225","2001-01-01",6.422
"BE231","2001-01-01",6.74
"BE234","2001-01-01",6.968
"BE235","2001-01-01",6.786
"BE236","2001-01-01",6.955
"BE241","2001-01-01",6.48
"BE242","2001-01-01",6.598
"BE251","2001-01-01",6.429
"BE252","2001-01-01",6.487
"BE253","2001-01-01",6.357
"BE254","2001-01-01",6.857
"BE255","2001-01-01",6.604
"BE256","2001-01-01",6.331
"BE258","2001-01-01",6.526
"BE310","2001-01-01",6.194
"BE323","2001-01-01",6.363
"BE328","2001-01-01",6.786
"BE329","2001-01-01",6.72
"BE32A","2001-01-01",6.643
"BE32B","2001-01-01",6.408
"BE32C","2001-01-01",6.467
"BE32D","2001-01-01",5.979
"BE331","2001-01-01",5.844
"BE332","2001-01-01",5.98
"BE334","2001-01-01",6.103
"BE335","2001-01-01",5.316
"BE336","2001-01-01",3.64
"BE342","2001-01-01",4.445
"BE343","2001-01-01",4.829
"BE344","2001-01-01",4.855
"BE345","2001-01-01",5.936
"BE351","2001-01-01",5.427
"BE352","2001-01-01",6.156
"BE353","2001-01-01",5.825
"BG311","2001-01-01",5.174
"BG312","2001-01-01",5.994
"BG313","2001-01-01",5.526
"BG314","2001-01-01",6.551
"BG315","2001-01-01",5.192
"BG321","2001-01-01",6.493
"BG322","2001-01-01",4.576
"BG323","2001-01-01",6.925
"BG324","2001-01-01",6.963
"BG325","2001-01-01",7.596
"BG331","2001-01-01",8.642
"BG332","2001-01-01",6.979
"BG333","2001-01-01",7.194
"BG334","2001-01-01",6.612
"BG341","2001-01-01",8.614
"BG342","2001-01-01",4.985
"BG343","2001-01-01",7.223
"BG344","2001-01-01",6.397
"BG411","2001-01-01",5.121
"BG412","2001-01-01",4.145
"BG413","2001-01-01",2.745
"BG414","2001-01-01",3.869
"BG415","2001-01-01",4.711
"BG421","2001-01-01",5.866
"BG422","2001-01-01",7.037
"BG423","2001-01-01",2.822
"BG424","2001-01-01",0.285
"BG425","2001-01-01",6.506
"CH011","2001-01-01",2.738
"CH012","2001-01-01",-5.354
"CH021","2001-01-01",1.344
"CH022","2001-01-01",3.395
"CH023","2001-01-01",2.742
"CH024","2001-01-01",2.332
"CH025","2001-01-01",4.86
"CH032","2001-01-01",2.425
"CH033","2001-01-01",4.14
"CH040","2001-01-01",3.695
"CH051","2001-01-01",-3.681
"CH055","2001-01-01",2.216
"CH056","2001-01-01",-5.286
"CH057","2001-01-01",4.538
"CH061","2001-01-01",4.23
"CH062","2001-01-01",-4.065
"CH063","2001-01-01",2.371
"CH064","2001-01-01",0.707
"CH065","2001-01-01",0.564
"CH070","2001-01-01",-1.49
"CY000","2001-01-01",18.333
"CZ010","2001-01-01",1.469
"CZ020","2001-01-01",1.846
"CZ031","2001-01-01",0.557
"CZ032","2001-01-01",0.984
"CZ041","2001-01-01",0.282
"CZ042","2001-01-01",1.832
"CZ051","2001-01-01",2.329
"CZ052","2001-01-01",1.772
"CZ053","2001-01-01",0.836
"CZ063","2001-01-01",-0.015
"CZ064","2001-01-01",1.073
"CZ071","2001-01-01",0.796
"CZ072","2001-01-01",1.13
"CZ080","2001-01-01",1.621
"DE112","2001-01-01",4.52
"DE113","2001-01-01",5.03
"DE114","2001-01-01",3.603
"DE115","2001-01-01",5.076
"DE116","2001-01-01",4.826
"DE118","2001-01-01",5.486
"DE119","2001-01-01",4.849
"DE11A","2001-01-01",4.472
"DE11B","2001-01-01",4.524
"DE11C","2001-01-01",3.602
"DE11D","2001-01-01",3.536
"DE123","2001-01-01",6.265
"DE127","2001-01-01",4.998
"DE128","2001-01-01",5.314
"DE12A","2001-01-01",3.535
"DE12B","2001-01-01",5.128
"DE12C","2001-01-01",3.648
"DE132","2001-01-01",5.871
"DE133","2001-01-01",5.782
"DE134","2001-01-01",6.236
"DE135","2001-01-01",3.723
"DE136","2001-01-01",2.884
"DE137","2001-01-01",2.825
"DE138","2001-01-01",3.438
"DE139","2001-01-01",5.565
"DE13A","2001-01-01",4.107
"DE141","2001-01-01",2.32
"DE143","2001-01-01",4.242
"DE145","2001-01-01",2.749
"DE146","2001-01-01",3.244
"DE147","2001-01-01",4.846
"DE148","2001-01-01",3.106
"DE149","2001-01-01",3.277
"DE214","2001-01-01",2.897
"DE215","2001-01-01",1.266
"DE216","2001-01-01",2.554
"DE217","2001-01-01",4.183
"DE218","2001-01-01",3.936
"DE219","2001-01-01",2.678
"DE21A","2001-01-01",3.695
"DE21B","2001-01-01",4.319
"DE21C","2001-01-01",3.634
"DE21D","2001-01-01",1.84
"DE21E","2001-01-01",3.557
"DE21F","2001-01-01",1.787
"DE21G","2001-01-01",3.309
"DE21H","2001-01-01",4.204
"DE21I","2001-01-01",3.143
"DE21J","2001-01-01",3.257
"DE21K","2001-01-01",3.217
"DE21L","2001-01-01",4.051
"DE21M","2001-01-01",2.717
"DE21N","2001-01-01",3.041
"DE224","2001-01-01",1.581
"DE225","2001-01-01",0.543
"DE226","2001-01-01",2.65
"DE227","2001-01-01",2.192
"DE228","2001-01-01",2.329
"DE229","2001-01-01",-0.383
"DE22A","2001-01-01",2.352
"DE22B","2001-01-01",1.936
"DE22C","2001-01-01",1.868
"DE234","2001-01-01",2.211
"DE235","2001-01-01",1.267
"DE236","2001-01-01",1.808
"DE237","2001-01-01",1.068
"DE238","2001-01-01",1.868
"DE239","2001-01-01",1.626
"DE23A","2001-01-01",0.529
"DE245","2001-01-01",3.748
"DE246","2001-01-01",2.159
"DE247","2001-01-01",3.666
"DE248","2001-01-01",3.18
"DE249","2001-01-01",0.896
"DE24A","2001-01-01",1.633
"DE24B","2001-01-01",1.915
"DE24C","2001-01-01",2.803
"DE24D","2001-01-01",0.534
"DE256","2001-01-01",3.4
"DE257","2001-01-01",3.575
"DE258","2001-01-01",3.686
"DE259","2001-01-01",2.364
"DE25A","2001-01-01",3.845
"DE25B","2001-01-01",3.364
"DE25C","2001-01-01",3.276
"DE264","2001-01-01",4.219
"DE265","2001-01-01",3.991
"DE266","2001-01-01",3.432
"DE267","2001-01-01",3.959
"DE268","2001-01-01",4.359
"DE269","2001-01-01",4.667
"DE26A","2001-01-01",4.203
"DE26B","2001-01-01",4.125
"DE26C","2001-01-01",4.206
"DE275","2001-01-01",3.789
"DE276","2001-01-01",3.962
"DE277","2001-01-01",4.263
"DE278","2001-01-01",4.141
"DE279","2001-01-01",4.07
"DE27A","2001-01-01",3.223
"DE27B","2001-01-01",1.433
"DE27C","2001-01-01",2.8
"DE27D","2001-01-01",4.062
"DE27E","2001-01-01",0.99
"DE300","2001-01-01",4.188
"DE405","2001-01-01",3.349
"DE406","2001-01-01",4.031
"DE407","2001-01-01",4.467
"DE408","2001-01-01",3.889
"DE409","2001-01-01",3.792
"DE40A","2001-01-01",3.583
"DE40B","2001-01-01",4.069
"DE40C","2001-01-01",3.785
"DE40D","2001-01-01",3.378
"DE40E","2001-01-01",3.887
"DE40F","2001-01-01",3.303
"DE40G","2001-01-01",3.965
"DE40H","2001-01-01",4.252
"DE40I","2001-01-01",3.239
"DE501","2001-01-01",3.753
"DE600","2001-01-01",4.154
"DE712","2001-01-01",5.415
"DE715","2001-01-01",5.483
"DE716","2001-01-01",5.47
"DE717","2001-01-01",5.785
"DE719","2001-01-01",4.048
"DE71A","2001-01-01",4.661
"DE71B","2001-01-01",4.576
"DE71D","2001-01-01",4.81
"DE71E","2001-01-01",4.139
"DE721","2001-01-01",3.895
"DE722","2001-01-01",3.976
"DE723","2001-01-01",4.409
"DE724","2001-01-01",3.949
"DE725","2001-01-01",3.559
"DE732","2001-01-01",3.809
"DE733","2001-01-01",3.355
"DE734","2001-01-01",3.164
"DE735","2001-01-01",3.378
"DE736","2001-01-01",2.94
"DE737","2001-01-01",3.31
"DE80J","2001-01-01",3.15
"DE80K","2001-01-01",3.302
"DE80L","2001-01-01",3
"DE80M","2001-01-01",3.442
"DE80N","2001-01-01",3.307
"DE80O","2001-01-01",3.407
"DE912","2001-01-01",3.926
"DE914","2001-01-01",4.093
"DE916","2001-01-01",2.841
"DE917","2001-01-01",3.595
"DE918","2001-01-01",3.629
"DE91A","2001-01-01",4.328
"DE91B","2001-01-01",3.9
"DE91C","2001-01-01",3.092
"DE922","2001-01-01",3.804
"DE923","2001-01-01",3.743
"DE925","2001-01-01",4.018
"DE926","2001-01-01",3.415
"DE927","2001-01-01",4.237
"DE928","2001-01-01",4.058
"DE929","2001-01-01",4.026
"DE931","2001-01-01",4.083
"DE932","2001-01-01",4.058
"DE933","2001-01-01",3.863
"DE934","2001-01-01",3.769
"DE935","2001-01-01",3.577
"DE936","2001-01-01",3.569
"DE937","2001-01-01",3.986
