"NUTS_CODE","TIMESTAMP","MEDIAN"
"AL011","2009-01-01",4.878
"AL012","2009-01-01",11.545
"AL013","2009-01-01",3.432
"AL014","2009-01-01",8.476
"AL015","2009-01-01",6.583
"AL021","2009-01-01",7.25
"AL022","2009-01-01",11.285
"AL031","2009-01-01",8.132
"AL032","2009-01-01",11.238
"AL033","2009-01-01",6.853
"AL034","2009-01-01",3.669
"AL035","2009-01-01",11.418
"AT111","2009-01-01",1.075
"AT112","2009-01-01",2.004
"AT113","2009-01-01",1.558
"AT121","2009-01-01",0.79
"AT122","2009-01-01",0.557
"AT123","2009-01-01",1.259
"AT124","2009-01-01",-1.992
"AT125","2009-01-01",-0.047
"AT126","2009-01-01",0.974
"AT127","2009-01-01",1.058
"AT211","2009-01-01",-0.32
"AT212","2009-01-01",-4.921
"AT213","2009-01-01",-1.983
"AT221","2009-01-01",-0.121
"AT222","2009-01-01",-2.44
"AT223","2009-01-01",-1.582
"AT224","2009-01-01",1.254
"AT225","2009-01-01",0.542
"AT226","2009-01-01",-3.296
"AT311","2009-01-01",0.206
"AT312","2009-01-01",-0.615
"AT313","2009-01-01",-1.219
"AT314","2009-01-01",0.554
"AT315","2009-01-01",1.117
"AT321","2009-01-01",-4.862
"AT322","2009-01-01",-3.483
"AT323","2009-01-01",-0.87
"AT331","2009-01-01",-4.056
"AT332","2009-01-01",-2.737
"AT333","2009-01-01",-8.418
"AT334","2009-01-01",-4.594
"AT335","2009-01-01",-1.613
"AT341","2009-01-01",-1.269
"AT342","2009-01-01",1.847
"BA","2009-01-01",2.051
"BE211","2009-01-01",2.608
"BE212","2009-01-01",3.234
"BE213","2009-01-01",2.86
"BE223","2009-01-01",2.317
"BE224","2009-01-01",2.636
"BE225","2009-01-01",2.172
"BE231","2009-01-01",3.586
"BE234","2009-01-01",3.814
"BE235","2009-01-01",3.286
"BE236","2009-01-01",3.24
"BE241","2009-01-01",2.697
"BE242","2009-01-01",2.624
"BE251","2009-01-01",3.429
"BE252","2009-01-01",3.487
"BE253","2009-01-01",4.107
"BE254","2009-01-01",3.357
"BE255","2009-01-01",3.104
"BE256","2009-01-01",3.523
"BE258","2009-01-01",4.026
"BE310","2009-01-01",2.546
"BE323","2009-01-01",2.43
"BE328","2009-01-01",2.786
"BE329","2009-01-01",2.287
"BE32A","2009-01-01",2.609
"BE32B","2009-01-01",1.841
"BE32C","2009-01-01",2.467
"BE32D","2009-01-01",2.094
"BE331","2009-01-01",2.051
"BE332","2009-01-01",2.337
"BE334","2009-01-01",2.036
"BE335","2009-01-01",1.701
"BE336","2009-01-01",0.486
"BE342","2009-01-01",0.88
"BE343","2009-01-01",1.835
"BE344","2009-01-01",1.396
"BE345","2009-01-01",2.013
"BE351","2009-01-01",1.932
"BE352","2009-01-01",2.132
"BE353","2009-01-01",2.107
"BG311","2009-01-01",2.604
"BG312","2009-01-01",3.594
"BG313","2009-01-01",3.603
"BG314","2009-01-01",4.499
"BG315","2009-01-01",3.829
"BG321","2009-01-01",4.892
"BG322","2009-01-01",3.941
"BG323","2009-01-01",4.997
"BG324","2009-01-01",5.31
"BG325","2009-01-01",4.498
"BG331","2009-01-01",5.228
"BG332","2009-01-01",4.59
"BG333","2009-01-01",4.37
"BG334","2009-01-01",5.271
"BG341","2009-01-01",6.181
"BG342","2009-01-01",4.95
"BG343","2009-01-01",6.807
"BG344","2009-01-01",5.814
"BG411","2009-01-01",3.313
"BG412","2009-01-01",2.437
"BG413","2009-01-01",2.344
"BG414","2009-01-01",2.555
"BG415","2009-01-01",2.743
"BG421","2009-01-01",5.561
"BG422","2009-01-01",6.744
"BG423","2009-01-01",2.689
"BG424","2009-01-01",1.132
"BG425","2009-01-01",6.121
"CH011","2009-01-01",0.466
"CH012","2009-01-01",-5.836
"CH021","2009-01-01",0.292
"CH022","2009-01-01",1.925
"CH023","2009-01-01",1.195
"CH024","2009-01-01",-2.169
"CH025","2009-01-01",0.88
"CH032","2009-01-01",-1.004
