"NUTS_ID","TIMESTAMP","MEDIAN"
"AD","2021-01-01",-1.291
"AL011","2021-01-01",0.112
"AL012","2021-01-01",0.682
"AL013","2021-01-01",0.384
"AL014","2021-01-01",0.135
"AL015","2021-01-01",-0.151
"AL021","2021-01-01",0.505
"AL022","2021-01-01",0.562
"AL031","2021-01-01",0.797
"AL032","2021-01-01",1.561
"AL033","2021-01-01",0.357
"AL034","2021-01-01",0.028
"AL035","2021-01-01",0.264
"AT111","2021-01-01",-0.631
"AT112","2021-01-01",0.082
"AT113","2021-01-01",0.103
"AT121","2021-01-01",-0.944
"AT122","2021-01-01",0.03
"AT123","2021-01-01",0.507
"AT124","2021-01-01",-0.505
"AT125","2021-01-01",0.24
"AT126","2021-01-01",0.148
"AT127","2021-01-01",0.279
"AT130","2021-01-01",0.064
"AT211","2021-01-01",-2.535
"AT212","2021-01-01",-2.185
"AT213","2021-01-01",-1.688
"AT221","2021-01-01",-1.382
"AT222","2021-01-01",0.275
"AT223","2021-01-01",-0.957
"AT224","2021-01-01",-0.548
"AT225","2021-01-01",-1.302
"AT226","2021-01-01",-1.266
"AT311","2021-01-01",-0.768
"AT312","2021-01-01",-0.813
"AT313","2021-01-01",-0.724
"AT314","2021-01-01",-0.405
"AT315","2021-01-01",-0.422
"AT321","2021-01-01",-1.113
"AT322","2021-01-01",-0.043
"AT323","2021-01-01",-0.922
"AT331","2021-01-01",0.194
"AT332","2021-01-01",0.07
"AT333","2021-01-01",-1.849
"AT334","2021-01-01",0.003
"AT335","2021-01-01",0.033
"AT341","2021-01-01",-0.532
"AT342","2021-01-01",-0.208
"BA","2021-01-01",-0.296
"BE211","2021-01-01",1.094
"BE212","2021-01-01",1.204
"BE213","2021-01-01",1.009
"BE223","2021-01-01",-1.785
"BE224","2021-01-01",-0.278
"BE225","2021-01-01",-0.431
"BE231","2021-01-01",1.161
"BE232","2021-01-01",1.491
"BE233","2021-01-01",1.006
"BE234","2021-01-01",0.788
"BE235","2021-01-01",1.507
"BE236","2021-01-01",1.04
"BE241","2021-01-01",0.958
"BE242","2021-01-01",-0.444
"BE251","2021-01-01",0.551
"BE252","2021-01-01",0.573
"BE253","2021-01-01",0.384
"BE254","2021-01-01",-0.143
"BE255","2021-01-01",0.777
"BE256","2021-01-01",0.828
"BE257","2021-01-01",-0.393
"BE258","2021-01-01",0.704
"BE310","2021-01-01",-0.176
"BE323","2021-01-01",1.02
"BE328","2021-01-01",1.255
"BE329","2021-01-01",-0.976
"BE32A","2021-01-01",1.521
"BE32B","2021-01-01",-1.355
"BE32C","2021-01-01",0.338
"BE32D","2021-01-01",-2.123
"BE331","2021-01-01",0.32
"BE332","2021-01-01",-2.083
"BE334","2021-01-01",-0.438
"BE335","2021-01-01",-2.111
"BE336","2021-01-01",
"BE341","2021-01-01",-2.292
"BE342","2021-01-01",-0.801
"BE343","2021-01-01",-0.337
"BE344","2021-01-01",-1.573
"BE345","2021-01-01",-3.201
"BE351","2021-01-01",-1.718
"BE352","2021-01-01",-0.044
"BE353","2021-01-01",-2.249
"BG311","2021-01-01",0.14
"BG312","2021-01-01",0.212
"BG313","2021-01-01",0.618
"BG314","2021-01-01",0.861
"BG315","2021-01-01",0.362
"BG321","2021-01-01",0.298
"BG322","2021-01-01",-0.039
"BG323","2021-01-01",1.016
"BG324","2021-01-01",0.962
"BG325","2021-01-01",0.701
"BG331","2021-01-01",0.411
"BG332","2021-01-01",-0.27
"BG333","2021-01-01",-0.053
"BG334","2021-01-01",0.132
"BG341","2021-01-01",0.556
"BG342","2021-01-01",0.256
"BG343","2021-01-01",0.232
"BG344","2021-01-01",0.229
"BG411","2021-01-01",0.365
"BG412","2021-01-01",0.429
"BG413","2021-01-01",0.345
"BG414","2021-01-01",0.082
"BG415","2021-01-01",0.626
"BG421","2021-01-01",0.728
"BG422","2021-01-01",0.307
"BG423","2021-01-01",0.131
"BG424","2021-01-01",0.359
"BG425","2021-01-01",0.253
"CH011","2021-01-01",-0.24
"CH012","2021-01-01",-0.782
"CH013","2021-01-01",-0.221
"CH021","2021-01-01",-1.024
"CH022","2021-01-01",-0.755
"CH023","2021-01-01",-0.785
"CH024","2021-01-01",-1.487
