NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
AL011,2014-01-01,.771                                                           
AL013,2014-01-01,0                                                              
AL014,2014-01-01,.726                                                           
AL015,2014-01-01,0                                                              
AL021,2014-01-01,.751                                                           
AL022,2014-01-01,.778                                                           
AL031,2014-01-01,0                                                              
AL032,2014-01-01,.778                                                           
AL033,2014-01-01,0                                                              
AL034,2014-01-01,0                                                              
AL035,2014-01-01,0                                                              
AT112,2014-01-01,0                                                              
AT113,2014-01-01,0                                                              
AT121,2014-01-01,0                                                              
AT122,2014-01-01,0                                                              
AT123,2014-01-01,0                                                              
AT124,2014-01-01,0                                                              
AT125,2014-01-01,0                                                              
AT126,2014-01-01,0                                                              
AT127,2014-01-01,0                                                              
AT130,2014-01-01,0                                                              
AT211,2014-01-01,0                                                              
AT212,2014-01-01,0                                                              
AT213,2014-01-01,0                                                              
AT221,2014-01-01,0                                                              
AT222,2014-01-01,0                                                              
AT223,2014-01-01,0                                                              
AT224,2014-01-01,0                                                              
AT225,2014-01-01,0                                                              
AT226,2014-01-01,0                                                              
AT311,2014-01-01,0                                                              
AT312,2014-01-01,0                                                              
AT313,2014-01-01,0                                                              
AT314,2014-01-01,0                                                              
AT315,2014-01-01,0                                                              
AT321,2014-01-01,0                                                              
AT322,2014-01-01,0                                                              
AT323,2014-01-01,0                                                              
AT331,2014-01-01,0                                                              
AT332,2014-01-01,0                                                              
AT333,2014-01-01,0                                                              
AT334,2014-01-01,0                                                              
AT335,2014-01-01,0                                                              
AT341,2014-01-01,0                                                              
AT342,2014-01-01,0                                                              
BE211,2014-01-01,0                                                              
BE212,2014-01-01,0                                                              
BE213,2014-01-01,0                                                              
BE223,2014-01-01,0                                                              
BE224,2014-01-01,0                                                              
BE225,2014-01-01,0                                                              
BE231,2014-01-01,0                                                              
BE232,2014-01-01,0                                                              
BE233,2014-01-01,0                                                              
BE234,2014-01-01,0                                                              
BE235,2014-01-01,0                                                              
BE236,2014-01-01,0                                                              
BE241,2014-01-01,0                                                              
BE242,2014-01-01,0                                                              
BE252,2014-01-01,0                                                              
BE253,2014-01-01,0                                                              
