NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
AL011,2006-01-01,0                                                              
AL013,2006-01-01,0                                                              
AL014,2006-01-01,0                                                              
AL015,2006-01-01,0                                                              
AL021,2006-01-01,0                                                              
AL022,2006-01-01,0                                                              
AL031,2006-01-01,0                                                              
AL032,2006-01-01,0                                                              
AL033,2006-01-01,0                                                              
AL034,2006-01-01,0                                                              
AL035,2006-01-01,0                                                              
AT112,2006-01-01,0                                                              
AT113,2006-01-01,.525                                                           
AT121,2006-01-01,.581                                                           
AT122,2006-01-01,0                                                              
AT123,2006-01-01,.367                                                           
AT124,2006-01-01,.384                                                           
AT125,2006-01-01,0                                                              
AT126,2006-01-01,.367                                                           
AT127,2006-01-01,0                                                              
AT130,2006-01-01,0                                                              
AT211,2006-01-01,.316                                                           
AT212,2006-01-01,0                                                              
AT213,2006-01-01,.325                                                           
AT221,2006-01-01,.005                                                           
AT222,2006-01-01,.232                                                           
AT223,2006-01-01,.544                                                           
AT224,2006-01-01,.525                                                           
AT225,2006-01-01,.255                                                           
AT226,2006-01-01,.011                                                           
AT311,2006-01-01,.642                                                           
AT312,2006-01-01,.379                                                           
AT313,2006-01-01,.975                                                           
AT314,2006-01-01,.291                                                           
AT315,2006-01-01,.693                                                           
AT321,2006-01-01,.006                                                           
AT322,2006-01-01,.717                                                           
AT323,2006-01-01,.476                                                           
AT331,2006-01-01,.344                                                           
AT332,2006-01-01,.345                                                           
AT333,2006-01-01,0                                                              
AT334,2006-01-01,0                                                              
AT335,2006-01-01,.787                                                           
AT341,2006-01-01,0                                                              
AT342,2006-01-01,.875                                                           
BE211,2006-01-01,0                                                              
BE212,2006-01-01,0                                                              
BE213,2006-01-01,0                                                              
BE223,2006-01-01,0                                                              
BE224,2006-01-01,0                                                              
BE225,2006-01-01,0                                                              
BE231,2006-01-01,0                                                              
BE232,2006-01-01,0                                                              
BE233,2006-01-01,0                                                              
BE234,2006-01-01,.307                                                           
BE235,2006-01-01,.33                                                            
BE236,2006-01-01,0                                                              
BE241,2006-01-01,0                                                              
BE242,2006-01-01,0                                                              
BE252,2006-01-01,0                                                              
