"NUTS_CODE","TIMESTAMP","MEDIAN"
"AD","2016-01-01",-0.13
"AL011","2016-01-01",0.406
"AL012","2016-01-01",-0.007
"AL013","2016-01-01",0.205
"AL014","2016-01-01",-0.43
"AL015","2016-01-01",-0.767
"AL021","2016-01-01",0.543
"AL022","2016-01-01",-0.906
"AL031","2016-01-01",0.169
"AL032","2016-01-01",0.01
"AL033","2016-01-01",0.097
"AL034","2016-01-01",0.218
"AL035","2016-01-01",-0.19
"AT111","2016-01-01",-1.077
"AT112","2016-01-01",-0.389
"AT113","2016-01-01",-0.74
"AT121","2016-01-01",-1.657
"AT122","2016-01-01",-1.912
"AT123","2016-01-01",-0.319
"AT124","2016-01-01",-0.004
"AT125","2016-01-01",0.102
"AT126","2016-01-01",0.109
"AT127","2016-01-01",-0.996
"AT130","2016-01-01",-0.581
"AT211","2016-01-01",-0.045
"AT212","2016-01-01",-1.678
"AT213","2016-01-01",-0.233
"AT221","2016-01-01",-0.797
"AT222","2016-01-01",-1.61
"AT223","2016-01-01",-1.353
"AT224","2016-01-01",-0.589
"AT225","2016-01-01",-0.267
"AT226","2016-01-01",-1.537
"AT311","2016-01-01",-2.291
"AT312","2016-01-01",-2.463
"AT313","2016-01-01",-1.048
"AT314","2016-01-01",-2.156
"AT315","2016-01-01",-1.864
"AT321","2016-01-01",-1.51
"AT322","2016-01-01",-1.399
"AT323","2016-01-01",-2.418
"AT331","2016-01-01",-0.679
"AT332","2016-01-01",0.185
"AT333","2016-01-01",-2.04
"AT334","2016-01-01",-0.57
"AT335","2016-01-01",-1.186
"AT341","2016-01-01",-0.626
"AT342","2016-01-01",-0.378
"BA","2016-01-01",-0.396
"BE100","2016-01-01",0.005
"BE211","2016-01-01",-0.444
"BE212","2016-01-01",-0.304
"BE213","2016-01-01",0.136
"BE223","2016-01-01",0.315
"BE224","2016-01-01",0.363
"BE225","2016-01-01",0.305
"BE231","2016-01-01",0.245
"BE232","2016-01-01",-0.073
"BE233","2016-01-01",-0.158
"BE234","2016-01-01",0.072
"BE235","2016-01-01",0.261
"BE236","2016-01-01",-0.429
"BE241","2016-01-01",0.041
"BE242","2016-01-01",0.358
"BE251","2016-01-01",-0.02
"BE252","2016-01-01",0.199
"BE253","2016-01-01",0.177
"BE254","2016-01-01",0.129
"BE255","2016-01-01",0.344
"BE256","2016-01-01",0.254
"BE257","2016-01-01",0.149
"BE258","2016-01-01",-0.395
"BE310","2016-01-01",0.17
"BE323","2016-01-01",0.192
"BE328","2016-01-01",0.202
"BE329","2016-01-01",0.186
"BE32A","2016-01-01",0.171
"BE32B","2016-01-01",0.092
"BE32C","2016-01-01",0.022
"BE32D","2016-01-01",0.276
"BE331","2016-01-01",0.124
"BE332","2016-01-01",0.039
"BE334","2016-01-01",0.179
"BE335","2016-01-01",0.198
"BE336","2016-01-01",0.332
"BE341","2016-01-01",0.489
"BE342","2016-01-01",0.384
"BE343","2016-01-01",0.248
"BE344","2016-01-01",0.269
"BE345","2016-01-01",0.213
"BE351","2016-01-01",0.254
"BE352","2016-01-01",0.302
"BE353","2016-01-01",0.158
"BG311","2016-01-01",-0.193
"BG312","2016-01-01",1.059
"BG313","2016-01-01",0.511
"BG314","2016-01-01",1.109
"BG315","2016-01-01",-0.338
"BG321","2016-01-01",-0.116
"BG322","2016-01-01",0.153
"BG323","2016-01-01",0.681
"BG324","2016-01-01",0.447
"BG325","2016-01-01",0.745
"BG331","2016-01-01",0.058
"BG332","2016-01-01",0.453
"BG333","2016-01-01",0.68
"BG334","2016-01-01",0.976
"BG341","2016-01-01",-0.302
"BG342","2016-01-01",0.692
"BG343","2016-01-01",0.262
"BG344","2016-01-01",0.988
"BG411","2016-01-01",1.224
"BG412","2016-01-01",0.803
"BG413","2016-01-01",0.808
"BG414","2016-01-01",1.181
"BG415","2016-01-01",1
"BG421","2016-01-01",0.65
"BG422","2016-01-01",0.345
"BG423","2016-01-01",0.695
"BG424","2016-01-01",0.585
"BG425","2016-01-01",0.299
