"NUTS_CODE","TIMESTAMP","MEDIAN"
"AD","2019-01-01",0.447
"AL011","2019-01-01",-0.382
"AL012","2019-01-01",-0.519
"AL013","2019-01-01",-1.63
"AL014","2019-01-01",-1.704
"AL015","2019-01-01",-1.214
"AL021","2019-01-01",-0.333
"AL022","2019-01-01",-1.095
"AL031","2019-01-01",-0.543
"AL032","2019-01-01",0.084
"AL033","2019-01-01",-0.837
"AL034","2019-01-01",0.016
"AL035","2019-01-01",-0.237
"AT111","2019-01-01",0.027
"AT112","2019-01-01",0.297
"AT113","2019-01-01",-1.738
"AT121","2019-01-01",-0.181
"AT122","2019-01-01",0.496
"AT123","2019-01-01",0.558
"AT124","2019-01-01",0.412
"AT125","2019-01-01",-0.127
"AT126","2019-01-01",0.512
"AT127","2019-01-01",0.67
"AT130","2019-01-01",0.696
"AT211","2019-01-01",-0.915
"AT212","2019-01-01",-0.048
"AT213","2019-01-01",-0.671
"AT221","2019-01-01",-0.663
"AT222","2019-01-01",-1.371
"AT223","2019-01-01",-0.049
"AT224","2019-01-01",-0.374
"AT225","2019-01-01",-0.164
"AT226","2019-01-01",-0.165
"AT311","2019-01-01",-0.12
"AT312","2019-01-01",-0.162
"AT313","2019-01-01",0.034
"AT314","2019-01-01",-0.638
"AT315","2019-01-01",-1.08
"AT321","2019-01-01",-1.189
"AT322","2019-01-01",-0.925
"AT323","2019-01-01",-0.724
"AT331","2019-01-01",-0.533
"AT332","2019-01-01",0.532
"AT333","2019-01-01",0.216
"AT334","2019-01-01",-0.291
"AT335","2019-01-01",-0.2
"AT341","2019-01-01",-0.814
"AT342","2019-01-01",-0.761
"BA","2019-01-01",-0.787
"BE100","2019-01-01",-0.151
"BE211","2019-01-01",-1.437
"BE212","2019-01-01",0.128
"BE213","2019-01-01",-1.312
"BE223","2019-01-01",-0.351
"BE224","2019-01-01",-0.71
"BE225","2019-01-01",-2.338
"BE231","2019-01-01",-1.117
"BE232","2019-01-01",0.172
"BE233","2019-01-01",-0.661
"BE234","2019-01-01",-0.491
"BE235","2019-01-01",-2.527
"BE236","2019-01-01",-0.408
"BE241","2019-01-01",-0.587
"BE242","2019-01-01",-2.117
"BE251","2019-01-01",-2.523
"BE252","2019-01-01",-0.072
"BE253","2019-01-01",-1.082
"BE254","2019-01-01",-0.366
"BE255","2019-01-01",-1.15
"BE256","2019-01-01",-0.5
"BE257","2019-01-01",-1.559
"BE258","2019-01-01",0.111
"BE310","2019-01-01",-1.652
"BE323","2019-01-01",-1.042
"BE328","2019-01-01",-1.667
"BE329","2019-01-01",-1.093
"BE32A","2019-01-01",-1.79
"BE32B","2019-01-01",-1.294
"BE32C","2019-01-01",-1.501
"BE32D","2019-01-01",-1.407
"BE331","2019-01-01",-1.053
"BE332","2019-01-01",-1.144
"BE334","2019-01-01",-0.51
"BE335","2019-01-01",-2.831
"BE336","2019-01-01",-1.764
"BE341","2019-01-01",-0.553
"BE342","2019-01-01",-2.172
"BE343","2019-01-01",-2.352
"BE344","2019-01-01",-2.007
"BE345","2019-01-01",-0.968
"BE351","2019-01-01",-1.91
"BE352","2019-01-01",-1.738
"BE353","2019-01-01",-1.986
"BG311","2019-01-01",-0.676
"BG312","2019-01-01",0.112
"BG313","2019-01-01",-0.364
"BG314","2019-01-01",0.384
"BG315","2019-01-01",-0.113
"BG321","2019-01-01",-0.347
"BG322","2019-01-01",-0.302
"BG323","2019-01-01",0.604
"BG324","2019-01-01",-0.009
"BG325","2019-01-01",-0.246
"BG331","2019-01-01",-0.47
"BG332","2019-01-01",-0.218
"BG333","2019-01-01",-0.07
"BG334","2019-01-01",0.389
"BG341","2019-01-01",-0.077
"BG342","2019-01-01",-0.314
"BG343","2019-01-01",-0.18
"BG344","2019-01-01",0.311
"BG411","2019-01-01",0.084
