"NUTS_CODE","TIMESTAMP","MEDIAN"
"AD","2021-01-01",0.669
"AL011","2021-01-01",0.594
"AL012","2021-01-01",0.671
"AL013","2021-01-01",0.536
"AL014","2021-01-01",0.6
"AL015","2021-01-01",0.725
"AL021","2021-01-01",0.615
"AL022","2021-01-01",0.402
"AL031","2021-01-01",0.232
"AL032","2021-01-01",0.775
"AL033","2021-01-01",0.519
"AL034","2021-01-01",0.316
"AL035","2021-01-01",0.798
"AT111","2021-01-01",0.791
"AT112","2021-01-01",1.011
"AT113","2021-01-01",0.864
"AT121","2021-01-01",0.315
"AT122","2021-01-01",0.631
"AT123","2021-01-01",1.056
"AT124","2021-01-01",0.827
"AT125","2021-01-01",0.922
"AT126","2021-01-01",0.903
"AT127","2021-01-01",0.805
"AT130","2021-01-01",0.674
"AT211","2021-01-01",0.838
"AT212","2021-01-01",0.656
"AT213","2021-01-01",0.8
"AT221","2021-01-01",0.69
"AT222","2021-01-01",0.208
"AT223","2021-01-01",0.346
"AT224","2021-01-01",0.823
"AT225","2021-01-01",0.782
"AT226","2021-01-01",0.456
"AT311","2021-01-01",0.07
"AT312","2021-01-01",0.16
"AT313","2021-01-01",0.459
"AT314","2021-01-01",-0.148
"AT315","2021-01-01",-0.691
"AT321","2021-01-01",0.292
"AT322","2021-01-01",-0.197
"AT323","2021-01-01",-0.217
"AT331","2021-01-01",0.124
"AT332","2021-01-01",0.523
"AT333","2021-01-01",0.128
"AT334","2021-01-01",-0.11
"AT335","2021-01-01",0.442
"AT341","2021-01-01",-0.573
"AT342","2021-01-01",-0.274
"BA","2021-01-01",0.518
"BE100","2021-01-01",0.465
"BE211","2021-01-01",-0.035
"BE212","2021-01-01",0.631
"BE213","2021-01-01",0.046
"BE223","2021-01-01",0.27
"BE224","2021-01-01",0.068
"BE225","2021-01-01",-1.941
"BE231","2021-01-01",0.505
"BE232","2021-01-01",0.656
"BE233","2021-01-01",0.517
"BE234","2021-01-01",0.603
"BE235","2021-01-01",0.007
"BE236","2021-01-01",0.528
"BE241","2021-01-01",0.4
"BE242","2021-01-01",0.143
"BE251","2021-01-01",0.633
"BE252","2021-01-01",0.956
"BE253","2021-01-01",1
"BE254","2021-01-01",0.824
"BE255","2021-01-01",0.945
"BE256","2021-01-01",0.886
"BE257","2021-01-01",0.751
"BE258","2021-01-01",0.915
"BE310","2021-01-01",0.169
"BE323","2021-01-01",0.056
"BE328","2021-01-01",0.483
"BE329","2021-01-01",0.401
"BE32A","2021-01-01",-0.617
"BE32B","2021-01-01",0.408
"BE32C","2021-01-01",0.068
"BE32D","2021-01-01",0.456
"BE331","2021-01-01",0.113
"BE332","2021-01-01",-0.161
"BE334","2021-01-01",0.323
"BE335","2021-01-01",-0.549
"BE336","2021-01-01",-1.069
"BE341","2021-01-01",0.127
"BE342","2021-01-01",-1.005
"BE343","2021-01-01",-0.37
"BE344","2021-01-01",-0.378
"BE345","2021-01-01",-0.1
"BE351","2021-01-01",0.383
"BE352","2021-01-01",0.28
"BE353","2021-01-01",0.523
"BG311","2021-01-01",0.518
"BG312","2021-01-01",1.022
"BG313","2021-01-01",0.691
"BG314","2021-01-01",1.043
"BG315","2021-01-01",0.238
"BG321","2021-01-01",0.065
"BG322","2021-01-01",0.025
"BG323","2021-01-01",0.556
"BG324","2021-01-01",0.542
"BG325","2021-01-01",-2.155
"BG331","2021-01-01",0.191
"BG332","2021-01-01",0.411
"BG333","2021-01-01",0.675
"BG334","2021-01-01",0.917
"BG341","2021-01-01",0.257
"BG342","2021-01-01",0.966
"BG343","2021-01-01",0.557
"BG344","2021-01-01",1.194
"BG411","2021-01-01",1.207
"BG412","2021-01-01",0.983
"BG413","2021-01-01",0.94
"BG414","2021-01-01",0.996
"BG415","2021-01-01",0.874
"BG421","2021-01-01",1.142
"BG422","2021-01-01",0.757
"BG423","2021-01-01",0.791
"BG424","2021-01-01",0.766
"BG425","2021-01-01",0.831
"CH011","2021-01-01",-0.3
"CH012","2021-01-01",-0.066
"CH013","2021-01-01",0.11
"CH021","2021-01-01",-0.336
"CH022","2021-01-01",-0.616
"CH023","2021-01-01",-0.173
"CH024","2021-01-01",-0.703
"CH025","2021-01-01",-0.605
"CH032","2021-01-01",-0.068
"CH033","2021-01-01",0.123
"CH040","2021-01-01",-0.084
"CH051","2021-01-01",-1.05
"CH052","2021-01-01",-0.417
"CH053","2021-01-01",-0.515
"CH054","2021-01-01",-0.766
"CH055","2021-01-01",-0.272
"CH056","2021-01-01",-0.314
"CH057","2021-01-01",0.278
"CH061","2021-01-01",-0.072
"CH062","2021-01-01",0.817
"CH063","2021-01-01",0.008
"CH064","2021-01-01",0.694
"CH065","2021-01-01",1.333
"CH066","2021-01-01",0.338
"CH070","2021-01-01",0.312
"CY000","2021-01-01",-0.594
"CZ010","2021-01-01",0.632
"CZ020","2021-01-01",0.345
"CZ031","2021-01-01",0.493
"CZ032","2021-01-01",-0.34
"CZ041","2021-01-01",-1.85
"CZ042","2021-01-01",-0.067
"CZ051","2021-01-01",-0.245
"CZ052","2021-01-01",0.143
"CZ053","2021-01-01",0.904
"CZ063","2021-01-01",0.779
"CZ064","2021-01-01",1.284
"CZ071","2021-01-01",0.903
"CZ072","2021-01-01",0.805
"CZ080","2021-01-01",0.804
"DE111","2021-01-01",-1.833
"DE112","2021-01-01",-2.019
"DE113","2021-01-01",-1.089
"DE114","2021-01-01",-1.34
"DE115","2021-01-01",-1.117
"DE116","2021-01-01",-0.356
"DE117","2021-01-01",-0.825
"DE118","2021-01-01",-1.14
"DE119","2021-01-01",-1.919
"DE11A","2021-01-01",-2.167
"DE11B","2021-01-01",-2.64
"DE11C","2021-01-01",-0.509
"DE11D","2021-01-01",-1.527
"DE121","2021-01-01",0.191
"DE122","2021-01-01",-1.241
"DE123","2021-01-01",-1.813
"DE124","2021-01-01",0.174
"DE125","2021-01-01",0.469
"DE126","2021-01-01",0.16
"DE127","2021-01-01",-0.483
"DE128","2021-01-01",0.054
"DE129","2021-01-01",-1.452
"DE12A","2021-01-01",-1.754
"DE12B","2021-01-01",-1.627
"DE12C","2021-01-01",-0.23
"DE131","2021-01-01",-1.018
"DE132","2021-01-01",-0.37
"DE133","2021-01-01",0.265
"DE134","2021-01-01",0.22
"DE135","2021-01-01",-1.672
"DE136","2021-01-01",-1.245
"DE137","2021-01-01",-1.812
"DE138","2021-01-01",0.094
"DE139","2021-01-01",-1.08
"DE13A","2021-01-01",-0.077
"DE141","2021-01-01",-1.026
"DE142","2021-01-01",-1.348
"DE143","2021-01-01",-1.282
"DE144","2021-01-01",-0.151
"DE145","2021-01-01",-0.618
"DE146","2021-01-01",0.142
"DE147","2021-01-01",0.028
"DE148","2021-01-01",-0.259
"DE149","2021-01-01",-0.735
"DE211","2021-01-01",-0.289
"DE212","2021-01-01",-0.528
"DE213","2021-01-01",-0.352
"DE214","2021-01-01",-0.481
"DE215","2021-01-01",-0.493
"DE216","2021-01-01",0.311
"DE217","2021-01-01",-0.048
"DE218","2021-01-01",-0.145
"DE219","2021-01-01",-1.555
"DE21A","2021-01-01",0.346
"DE21B","2021-01-01",0.087
"DE21C","2021-01-01",-0.273
"DE21D","2021-01-01",0.031
"DE21E","2021-01-01",-0.17
"DE21F","2021-01-01",0.286
"DE21G","2021-01-01",-0.31
"DE21H","2021-01-01",0.452
"DE21I","2021-01-01",-0.527
"DE21J","2021-01-01",-0.385
"DE21K","2021-01-01",-0.243
"DE21L","2021-01-01",0.228
"DE21M","2021-01-01",-0.732
"DE21N","2021-01-01",0.055
"DE221","2021-01-01",0.291
"DE222","2021-01-01",0.02
"DE223","2021-01-01",-0.263
"DE224","2021-01-01",-0.223
"DE225","2021-01-01",0.146
"DE226","2021-01-01",-0.562
"DE227","2021-01-01",0.212
"DE228","2021-01-01",-0.129
"DE229","2021-01-01",-0.784
"DE22A","2021-01-01",-0.34
"DE22B","2021-01-01",0.011
"DE22C","2021-01-01",0.285
"DE231","2021-01-01",-1.436
"DE232","2021-01-01",-0.333
"DE233","2021-01-01",-1.106
"DE234","2021-01-01",-0.97
"DE235","2021-01-01",-0.598
"DE236","2021-01-01",-1.136
"DE237","2021-01-01",-0.686
"DE238","2021-01-01",-0.201
"DE239","2021-01-01",-0.64
"DE23A","2021-01-01",-1.254
"DE241","2021-01-01",-1.1
"DE242","2021-01-01",-0.749
"DE243","2021-01-01",-1.942
"DE244","2021-01-01",-2.262
"DE245","2021-01-01",-1.045
"DE246","2021-01-01",-0.468
"DE247","2021-01-01",-1.715
"DE248","2021-01-01",-0.53
"DE249","2021-01-01",-0.979
"DE24A","2021-01-01",0.038
"DE24B","2021-01-01",-0.063
"DE24C","2021-01-01",-1.475
"DE24D","2021-01-01",-1.69
"DE251","2021-01-01",-1.289
"DE252","2021-01-01",-0.736
"DE253","2021-01-01",-0.526
"DE254","2021-01-01",-0.225
"DE255","2021-01-01",-0.798
"DE256","2021-01-01",-1.697
"DE257","2021-01-01",-0.777
