"NUTS_CODE","TIMESTAMP","MEDIAN"
"AD","2015-01-01",0.634
"AL011","2015-01-01",0.09
"AL012","2015-01-01",-0.392
"AL013","2015-01-01",0.442
"AL014","2015-01-01",-0.53
"AL015","2015-01-01",0.16
"AL021","2015-01-01",-0.116
"AL022","2015-01-01",-0.825
"AL031","2015-01-01",-0.237
"AL032","2015-01-01",-0.476
"AL033","2015-01-01",-0.037
"AL034","2015-01-01",0.301
"AL035","2015-01-01",-0.539
"AT111","2015-01-01",0.972
"AT112","2015-01-01",0.81
"AT113","2015-01-01",0.61
"AT121","2015-01-01",0.578
"AT122","2015-01-01",0.754
"AT123","2015-01-01",1.151
"AT124","2015-01-01",0.891
"AT125","2015-01-01",0.927
"AT126","2015-01-01",1.094
"AT127","2015-01-01",0.788
"AT130","2015-01-01",0.664
"AT211","2015-01-01",0.728
"AT212","2015-01-01",0.824
"AT213","2015-01-01",0.861
"AT221","2015-01-01",0.358
"AT222","2015-01-01",0.778
"AT223","2015-01-01",0.617
"AT224","2015-01-01",0.375
"AT225","2015-01-01",0.352
"AT226","2015-01-01",0.789
"AT311","2015-01-01",-0.028
"AT312","2015-01-01",0.351
"AT313","2015-01-01",0.624
"AT314","2015-01-01",0.359
"AT315","2015-01-01",0.405
"AT321","2015-01-01",1.088
"AT322","2015-01-01",0.337
"AT323","2015-01-01",0.446
"AT331","2015-01-01",0.294
"AT332","2015-01-01",-0.181
"AT333","2015-01-01",0.467
"AT334","2015-01-01",-0.398
"AT335","2015-01-01",0.119
"AT341","2015-01-01",-0.043
"AT342","2015-01-01",-0.185
"BA","2015-01-01",0.567
"BE100","2015-01-01",0.399
"BE211","2015-01-01",0.494
"BE212","2015-01-01",0.337
"BE213","2015-01-01",0.741
"BE223","2015-01-01",0.638
"BE224","2015-01-01",0.627
"BE225","2015-01-01",0.431
"BE231","2015-01-01",0.623
"BE232","2015-01-01",0.461
"BE233","2015-01-01",0.433
"BE234","2015-01-01",0.585
"BE235","2015-01-01",0.667
"BE236","2015-01-01",0.362
"BE241","2015-01-01",0.255
"BE242","2015-01-01",0.66
"BE251","2015-01-01",-0.008
"BE252","2015-01-01",0.53
"BE253","2015-01-01",0.147
"BE254","2015-01-01",0.12
"BE255","2015-01-01",0.612
"BE256","2015-01-01",-0.32
"BE257","2015-01-01",-0.157
"BE258","2015-01-01",0.62
"BE310","2015-01-01",0.628
"BE323","2015-01-01",0.766
"BE328","2015-01-01",0.696
"BE329","2015-01-01",0.646
"BE32A","2015-01-01",0.75
"BE32B","2015-01-01",0.528
"BE32C","2015-01-01",0.775
"BE32D","2015-01-01",0.546
"BE331","2015-01-01",0.577
"BE332","2015-01-01",0.54
"BE334","2015-01-01",0.528
"BE335","2015-01-01",0.573
"BE336","2015-01-01",0.509
"BE341","2015-01-01",0.532
"BE342","2015-01-01",0.424
"BE343","2015-01-01",0.554
"BE344","2015-01-01",0.288
"BE345","2015-01-01",0.146
"BE351","2015-01-01",0.655
"BE352","2015-01-01",0.584
"BE353","2015-01-01",0.554
"BG311","2015-01-01",0.468
"BG312","2015-01-01",1.268
"BG313","2015-01-01",0.798
"BG314","2015-01-01",1.222
"BG315","2015-01-01",-0.368
"BG321","2015-01-01",-0.344
"BG322","2015-01-01",-0.115
"BG323","2015-01-01",2.449
"BG324","2015-01-01",0.994
