"NUTS_CODE","TIMESTAMP","MEDIAN"
"AD","2002-01-01",-1.353
"AL011","2002-01-01",-1.051
"AL012","2002-01-01",-0.041
"AL013","2002-01-01",0.038
"AL014","2002-01-01",-0.326
"AL015","2002-01-01",-0.07
"AL021","2002-01-01",-2.217
"AL022","2002-01-01",-0.428
"AL031","2002-01-01",-1.152
"AL032","2002-01-01",-0.2
"AL033","2002-01-01",-1.933
"AL034","2002-01-01",-4.079
"AL035","2002-01-01",-0.536
"AT111","2002-01-01",-3.235
"AT112","2002-01-01",-0.962
"AT113","2002-01-01",-3.652
"AT121","2002-01-01",0.126
"AT122","2002-01-01",-0.57
"AT123","2002-01-01",0.59
"AT124","2002-01-01",-0.123
"AT125","2002-01-01",-0.245
"AT126","2002-01-01",-0.344
"AT127","2002-01-01",-0.552
"AT130","2002-01-01",0.005
"AT211","2002-01-01",-1.72
"AT212","2002-01-01",-0.602
"AT213","2002-01-01",-2.399
"AT221","2002-01-01",-3.396
"AT222","2002-01-01",0.251
"AT223","2002-01-01",-1.372
"AT224","2002-01-01",-3.554
"AT225","2002-01-01",-3.422
"AT226","2002-01-01",-0.933
"AT311","2002-01-01",0.549
"AT312","2002-01-01",0.705
"AT313","2002-01-01",0.87
"AT314","2002-01-01",0.308
"AT315","2002-01-01",0.777
"AT321","2002-01-01",0.267
"AT322","2002-01-01",0.59
"AT323","2002-01-01",0.35
"AT331","2002-01-01",0.993
"AT332","2002-01-01",0.386
"AT333","2002-01-01",-0.049
"AT334","2002-01-01",0.622
"AT335","2002-01-01",0.684
"AT341","2002-01-01",0.973
"AT342","2002-01-01",-0.206
"BA","2002-01-01",0.18
"BE100","2002-01-01",0.567
"BE211","2002-01-01",0.62
"BE212","2002-01-01",0.389
"BE213","2002-01-01",0.641
"BE223","2002-01-01",0.671
"BE224","2002-01-01",0.55
"BE225","2002-01-01",0.38
"BE231","2002-01-01",0.547
"BE232","2002-01-01",0.197
"BE233","2002-01-01",-0.214
"BE234","2002-01-01",0.137
"BE235","2002-01-01",0.639
"BE236","2002-01-01",0.096
"BE241","2002-01-01",0.645
"BE242","2002-01-01",0.738
"BE251","2002-01-01",0.323
"BE252","2002-01-01",-0.478
"BE253","2002-01-01",-0.246
"BE254","2002-01-01",0.129
"BE255","2002-01-01",-0.22
"BE256","2002-01-01",-0.154
"BE257","2002-01-01",0.18
"BE258","2002-01-01",-0.851
"BE310","2002-01-01",0.769
"BE323","2002-01-01",0.488
"BE328","2002-01-01",0.466
"BE329","2002-01-01",0.491
"BE32A","2002-01-01",0.538
"BE32B","2002-01-01",0.543
"BE32C","2002-01-01",0.584
"BE32D","2002-01-01",0.556
"BE331","2002-01-01",0.669
"BE332","2002-01-01",0.723
"BE334","2002-01-01",0.55
"BE335","2002-01-01",0.578
"BE336","2002-01-01",0.188
"BE341","2002-01-01",-0.335
"BE342","2002-01-01",0.105
"BE343","2002-01-01",0.547
"BE344","2002-01-01",0.397
"BE345","2002-01-01",-0.047
"BE351","2002-01-01",0.571
"BE352","2002-01-01",0.508
"BE353","2002-01-01",0.598
